time_stats.attn_prefill.min,time_stats.attn_prefill.max,time_stats.attn_prefill.mean,time_stats.attn_prefill.median,time_stats.attn_prefill.std,time_stats.attn_decode.min,time_stats.attn_decode.max,time_stats.attn_decode.mean,time_stats.attn_decode.median,time_stats.attn_decode.std,n_embd,n_q_head,n_kv_head,num_tensor_parallel_workers,max_model_len,batch_size,prefill_chunk_size,kv_cache_size,is_prefill,attention_backend
0.055168,0.055488,0.05532436,0.055328,6.815504676838048e-05,,,,,,8192,64,8,4,131072,1,128,896,True,FLASH_ATTENTION
0.062047,0.062336,0.062165719999999994,0.062144,6.6027582115355e-05,,,,,,8192,64,8,4,131072,1,128,1024,True,FLASH_ATTENTION
0.06883199999999999,0.069216,0.06903100000000001,0.069023,7.550814525599316e-05,,,,,,8192,64,8,4,131072,1,128,1152,True,FLASH_ATTENTION
0.07574299999999999,0.076095,0.07588546,0.0758715,7.524206536240194e-05,,,,,,8192,64,8,4,131072,1,128,1280,True,FLASH_ATTENTION
0.082464,0.082943,0.08274368000000001,0.082751,8.079936633415017e-05,,,,,,8192,64,8,4,131072,1,128,1408,True,FLASH_ATTENTION
0.08943899999999999,0.089824,0.08963001999999999,0.0896315,8.003586446087714e-05,,,,,,8192,64,8,4,131072,1,128,1536,True,FLASH_ATTENTION
0.096224,0.096609,0.09639205999999997,0.09638500000000001,8.887731094042041e-05,,,,,,8192,64,8,4,131072,1,128,1664,True,FLASH_ATTENTION
0.103039,0.103455,0.10328398,0.103295,9.3125182415929e-05,,,,,,8192,64,8,4,131072,1,128,1792,True,FLASH_ATTENTION
0.109887,0.110303,0.11012307999999998,0.110111,0.00010267576929344156,,,,,,8192,64,8,4,131072,1,128,1920,True,FLASH_ATTENTION
0.017696000000000003,0.017952000000000003,0.01785718,0.017856,5.388012249429269e-05,,,,,,8192,64,8,4,131072,1,160,160,True,FLASH_ATTENTION
0.024607,0.024896,0.02477042,0.024768000000000002,5.39107002365952e-05,,,,,,8192,64,8,4,131072,1,160,320,True,FLASH_ATTENTION
0.034848,0.035168,0.03500968,0.035008000000000004,6.380954160625251e-05,,,,,,8192,64,8,4,131072,1,160,480,True,FLASH_ATTENTION
0.04176,0.041983,0.041868920000000004,0.041871500000000006,5.544865733270825e-05,,,,,,8192,64,8,4,131072,1,160,640,True,FLASH_ATTENTION
0.052031,0.052351,0.052206940000000014,0.052223,7.161631378394189e-05,,,,,,8192,64,8,4,131072,1,160,800,True,FLASH_ATTENTION
0.058848,0.059233,0.05902144000000001,0.059040999999999996,8.175968688785476e-05,,,,,,8192,64,8,4,131072,1,160,960,True,FLASH_ATTENTION
0.069184,0.069535,0.06931134,0.06928000000000001,7.322666454236438e-05,,,,,,8192,64,8,4,131072,1,160,1120,True,FLASH_ATTENTION
0.075999,0.076416,0.07618432,0.07619100000000001,8.833740770477809e-05,,,,,,8192,64,8,4,131072,1,160,1280,True,FLASH_ATTENTION
0.086143,0.086527,0.08638100000000001,0.086399,9.137592680788463e-05,,,,,,8192,64,8,4,131072,1,160,1440,True,FLASH_ATTENTION
0.093184,0.093663,0.09339216,0.093407,8.861858947195974e-05,,,,,,8192,64,8,4,131072,1,160,1600,True,FLASH_ATTENTION
0.103422,0.103775,0.10358236000000001,0.103583,8.956310847664825e-05,,,,,,8192,64,8,4,131072,1,160,1760,True,FLASH_ATTENTION
0.017855,0.018015999999999997,0.01792366,0.017920000000000002,4.137903333815343e-05,,,,,,8192,64,8,4,131072,1,192,192,True,FLASH_ATTENTION
0.028095,0.028288,0.028204600000000003,0.028192000000000002,4.703190406521908e-05,,,,,,8192,64,8,4,131072,1,192,384,True,FLASH_ATTENTION
0.038368000000000006,0.038623,0.038504619999999996,0.038496,5.467243912612599e-05,,,,,,8192,64,8,4,131072,1,192,576,True,FLASH_ATTENTION
0.048576,0.048896,0.04873414,0.048735,6.550969699212524e-05,,,,,,8192,64,8,4,131072,1,192,768,True,FLASH_ATTENTION
0.058878,0.059167000000000004,0.05901885999999999,0.059038,6.411334026550196e-05,,,,,,8192,64,8,4,131072,1,192,960,True,FLASH_ATTENTION
0.069279,0.06956699999999999,0.06940738,0.069407,5.86374931251315e-05,,,,,,8192,64,8,4,131072,1,192,1152,True,FLASH_ATTENTION
0.079326,0.079743,0.07956498000000001,0.079551,9.03673591514115e-05,,,,,,8192,64,8,4,131072,1,192,1344,True,FLASH_ATTENTION
0.08966299999999999,0.090015,0.08988,0.08988700000000001,7.693217792315549e-05,,,,,,8192,64,8,4,131072,1,192,1536,True,FLASH_ATTENTION
0.099967,0.100383,0.10020511999999998,0.100191,8.876995888249615e-05,,,,,,8192,64,8,4,131072,1,192,1728,True,FLASH_ATTENTION
